user_id,datetime,open,high,low,close,volume,signals,trade_type,ema_20,ema_40
0,2019-09-08 16:00:00,10000.0,10000.0,10000.0,10000.0,0.002,0,hold,10000.0,10000.0
1,2019-09-08 18:00:00,10344.77,10357.53,10337.43,10340.12,471.659,1,long,10032.39238095238,10016.591219512195
2,2019-09-08 20:00:00,10340.12,10391.9,10324.77,10391.9,1273.03,0,hold,10066.63120181406,10034.898964901844
3,2019-09-08 22:00:00,10392.59,10412.65,10366.57,10391.63,1351.6,0,hold,10097.58346830796,10052.300478809071
4,2019-09-09 00:00:00,10391.63,10391.63,10391.63,10391.63,0.0,0,hold,10125.587899897677,10068.85313837936
5,2019-09-09 02:00:00,10316.62,10316.68,10267.37,10297.89,779.449,0,hold,10141.997623716945,10080.025668214512
6,2019-09-09 04:00:00,10297.89,10316.34,10251.51,10304.32,1351.802,0,hold,10157.456897648664,10090.966855130877
7,2019-09-09 06:00:00,10304.32,10305.51,10092.71,10149.47,1312.987,0,hold,10156.696240729743,10093.820667075712
8,2019-09-09 08:00:00,10149.47,10267.74,10077.22,10248.89,1434.716,0,hold,10165.476598755482,10101.385024779336
9,2019-09-09 10:00:00,10249.57,10475.54,10196.76,10414.6,1031.769,0,hold,10189.202636969247,10116.663804058393
10,2019-09-09 12:00:00,10411.7,10411.7,10317.61,10322.37,1717.496,0,hold,10201.885242972176,10126.69825264091
11,2019-09-09 14:00:00,10327.06,10363.82,10302.69,10314.26,1668.519,0,hold,10212.587600784349,10135.84760617062
12,2019-09-09 16:00:00,10314.26,10333.55,10183.31,10263.33,2040.234,0,hold,10217.420210233458,10142.06625952815
13,2019-09-09 18:00:00,10261.38,10323.13,10237.17,10308.87,1875.095,0,hold,10226.12971402075,10150.203027356045
14,2019-09-09 20:00:00,10307.8,10420.65,10228.28,10289.48,1242.855,0,hold,10232.163074590202,10156.997026021603
15,2019-09-09 22:00:00,10289.48,10382.64,10289.48,10307.0,369.451,0,hold,10239.290400819707,10164.314244264451
16,2019-09-10 00:00:00,10307.0,10382.97,10307.0,10328.53,519.943,0,hold,10247.78941026545,10172.324768934479
17,2019-09-10 02:00:00,10328.04,10356.14,10266.61,10307.25,1027.512,0,hold,10253.452323573501,10178.90648752304
18,2019-09-10 04:00:00,10309.17,10329.24,10251.86,10262.85,825.666,0,hold,10254.347340376025,10183.00129300972
19,2019-09-10 06:00:00,10263.35,10304.82,10226.81,10272.46,880.417,0,hold,10256.072355578308,10187.365132375098
20,2019-09-10 08:00:00,10271.93,10290.01,10206.87,10248.67,731.204,0,hold,10255.367369332755,10190.355613722653
21,2019-09-10 10:00:00,10255.07,10280.9,10222.99,10254.56,677.797,0,hold,10255.290477015351,10193.487535004475
22,2019-09-10 12:00:00,10252.7,10270.58,10221.96,10241.79,629.052,0,hold,10254.004717299604,10195.843752809134
23,2019-09-10 14:00:00,10237.92,10239.21,10167.91,10179.1,900.758,0,hold,10246.87093469964,10195.026984379421
24,2019-09-10 16:00:00,10172.13,10237.41,10172.13,10213.69,639.591,0,hold,10243.710845680627,10195.937375385303
25,2019-09-10 18:00:00,10213.58,10218.72,9940.87,10026.56,774.355,0,hold,10223.029812758663,10187.675064390898
26,2019-09-10 20:00:00,10021.49,10127.22,9991.73,10108.06,760.276,0,hold,10212.080306781647,10183.791402713292
27,2019-09-10 22:00:00,10108.25,10124.68,10046.67,10102.02,702.384,0,hold,10201.598372802442,10179.802553800448
28,2019-09-11 00:00:00,10094.27,10293.11,10069.45,10069.75,723.753,0,hold,10189.041384916494,10174.43413654189
29,2019-09-11 02:00:00,10066.39,10116.43,10051.0,10093.88,654.228,0,hold,10179.978395876828,10170.504666466675
30,2019-09-11 04:00:00,10091.53,10097.65,9974.69,10028.63,733.112,0,hold,10165.564262936177,10163.583951029275
31,2019-09-11 06:00:00,10024.78,10078.84,9884.31,10067.46,683.392,-1,short,10156.220999799398,10158.894977808335
32,2019-09-11 08:00:00,10068.41,10074.32,9988.69,10016.05,514.655,0,hold,10142.871380770883,10151.926930110367
33,2019-09-11 10:00:00,10019.03,10138.01,10016.97,10070.53,517.009,0,hold,10135.98172545937,10147.956348153763
34,2019-09-11 12:00:00,10062.34,10101.38,10017.65,10036.64,574.518,0,hold,10126.520608748953,10142.526282390165
35,2019-09-11 14:00:00,10037.14,10063.0,9973.15,9991.84,1251.668,0,hold,10113.693884106195,10135.17573202967
